,image_name, comment_number, comment
67645,3364787667.jpg, 0," A girl in a khaki jacket sitting next to a girl in an orange jacket on a ski-lift , both are smiling ."
67646,3364787667.jpg, 1," Two women , in winter jackets and snow pants , riding on a chair lift through snow covered mountains ."
67647,3364787667.jpg, 2," Two female snowboarders , both wearing glasses , board ride the ski lift up a mountain ."
67648,3364787667.jpg, 3," Two women sitting on a ski lift , with mountains in the background ."
67649,3364787667.jpg, 4, Two woman are smiling for the camera on a ski-lift .
53685,3046949818.jpg, 0," Two players from different teams fighting for the white , red , and black ball ."
53686,3046949818.jpg, 1, One rugby player holding a ball is getting hit from behind by another player .
53687,3046949818.jpg, 2, A soccer player prepares to tackle a player from the rival team .
53688,3046949818.jpg, 3, A soccer player pushes another player as he catches the ball .
53689,3046949818.jpg, 4, A man attempts to push another who is carrying a ball .
49225,2933643390.jpg, 0, football players wearing orange uniforms are tackling a player in a white uniform
49226,2933643390.jpg, 1, Three men are involved in a football game are tackling each other .
49227,2933643390.jpg, 2, two players take down the player with the ball in a football game
49228,2933643390.jpg, 3, Three footballers in a tackle .
49229,2933643390.jpg, 4, A tackle in a football game .
148520,7035403481.jpg, 0, The goalie wearing white reaches to stop a soccer ball that is coming towards the goal he is protecting .
148521,7035403481.jpg, 1, A dark-skinned man in a white uniform is deflecting a ball from the goal net .
148522,7035403481.jpg, 2, A soccer goalie catching the ball as it tries to go into the goal .
148523,7035403481.jpg, 3, A goalie in a white uniform dives to grab a soccer ball .
148524,7035403481.jpg, 4, A goalie is catching a soccer ball .
82735,3707077198.jpg, 0," A person in the air while skateboarding , in front of a wall of graffiti ."
82736,3707077198.jpg, 1, A man skateboarding at a skateboarding park which is covered in graffiti .
82737,3707077198.jpg, 2, A skateboarder jumping on a graffiti-covered ramp .
82738,3707077198.jpg, 3, Boy on a skateboard in midair at a skate park
82739,3707077198.jpg, 4, The skateboarder jumps over the ramp .
67575,3364026240.jpg, 0, A skier in a blue outfit is skiing down the hill with a red pack on his back .
67576,3364026240.jpg, 1, a lone skier skiing down a snowy mountain on one ski .
67577,3364026240.jpg, 2, A mountain skier heads down a mountain .
67578,3364026240.jpg, 3, A snowboarder on a wide plain of snow
67579,3364026240.jpg, 4, A man skis downhill on a mountain .
23860,23016250.jpg, 0, A young woman plays tennis while wearing a yellow outfit .
23861,23016250.jpg, 1, A woman wearing a yellow outfit is holding a racket .
23862,23016250.jpg, 2, A woman tennis player reacts after hitting the ball .
23863,23016250.jpg, 3, There is a woman in yellow playing tennis .
23864,23016250.jpg, 4, Woman in yellow playing tennis .
18725,2155536271.jpg, 0, Two different teams are playing against each other in a soccer game .
18726,2155536271.jpg, 1, A soccer game is in progress with both teams on the field .
18727,2155536271.jpg, 2, Soccer players playing a game in front of a big crowd .
18728,2155536271.jpg, 3," many men play soccer , while a crowd watches ."
18729,2155536271.jpg, 4, A time-out moment in a soccer match .
78720,3611672054.jpg, 0, A shirtless man in colorful shorts spikes a volleyball during a beach volleyball game .
78721,3611672054.jpg, 1, A man in colourful shorts reaching up to hit a volleyball .
78722,3611672054.jpg, 2, The young man leaps to serve the volleyball on the beach .
78723,3611672054.jpg, 3," a man on the sand wearing blue , pink and yellow shorts"
78724,3611672054.jpg, 4, A man in bright shorts hits a volleyball in the sand .
155395,8081646730.jpg, 0," A baseball player in a white uniform with dark stripes is partially on the ground , poised to catch a ball in his left hand as the ball quickly approaches ."
155396,8081646730.jpg, 1," Derek Jeter , picking a baseball out of the air , in a diving play"
155397,8081646730.jpg, 2, Baseball player giving all he has to get the ball .
155398,8081646730.jpg, 3, A baseball player sliding to catch a ground ball .
155399,8081646730.jpg, 4, A baseball player sliding to catch a baseball .
73935,3506454111.jpg, 0," In an empty , dimmed bowling alley , a woman prepares to release a red bowling ball towards a group of five pins ."
73936,3506454111.jpg, 1, A lady is at a bowling alley and throwing a red ball and there is a lady on the projector screen .
73937,3506454111.jpg, 2, A girl bowling in a dark bowling alley while a movie is projected at the end of the lanes .
73938,3506454111.jpg, 3," A woman , wearing jeans , rolls a bowling ball down the lane ."
73939,3506454111.jpg, 4, A lady bowling while watching a movie .
101420,4494095559.jpg, 0," A man on a skateboard waits at the corner of a city street , with an overpass in the background ."
101421,4494095559.jpg, 1, A young man in a black t-shirt and jeans rides a skateboard on the side of the street .
101422,4494095559.jpg, 2, A young man rides a skateboard down a town road with a yellow railing behind him .
101423,4494095559.jpg, 3, A skateboarder in a black t-shirt and jeans skating threw the city .
101424,4494095559.jpg, 4, a young man is skateboarding down the side of a road .
12060,17744613.jpg, 0, A man in a black shirt is playing bowling where the pins are replaced with spray paint cans and there is a graffiti filled wall in the background .
12061,17744613.jpg, 1," A boy improvises bowling , using a basketball released toward aerosol cans set up as bowling pins ."
12062,17744613.jpg, 2, A man is bowling using empty spray cans as pins in front of a wall covered in graffiti .
12063,17744613.jpg, 3, A man in a black shirt is rolling a bowling ball towards a set up of spray paint cans .
12064,17744613.jpg, 4, A man wearing a black shirt and jeans is bowling with a ball and 9 spray cans .
14725,2003663004.jpg, 0," A football player wears a green jersey with the number "" 4 "" on it ."
14726,2003663004.jpg, 1, Someone takes a cloth off of a Green Bay Packers football player .
14727,2003663004.jpg, 2, Greenbay football player is being handed a towel on the field .
14728,2003663004.jpg, 3, A football player pauses during a game .
14729,2003663004.jpg, 4, Green Bay Packer player cooling off
99390,4448064784.jpg, 0," A tall black man in yellow pants shows his rollerskating skills , while pedestrians watch ."
99391,4448064784.jpg, 1," Young men skateboard under the trees , through cones and passersby ."
99392,4448064784.jpg, 2, A man on rollerblades skates around some cones on a wide walkway .
99393,4448064784.jpg, 3, A Man with tan pants RollerBlading .
99394,4448064784.jpg, 4, Man rollerskating in park .
7910,1446053356.jpg, 0, Two girls wearing black and white uniforms run down a grassy field .
7911,1446053356.jpg, 1, Children participate in a sport on a green field while in uniforms .
7912,1446053356.jpg, 2, Two girls in soccer strips are playing on a sports field .
7913,1446053356.jpg, 3, The young soccer player enjoys the game .
7914,1446053356.jpg, 4, Two girls play on a fenced in field .
81860,3687077099.jpg, 0," Kids doing a soccer drill in the soccer field , they are all dress in soccer uniforms except for one boy which is wearing casual clothing ."
81861,3687077099.jpg, 1, A boy in a yellow shirt and blue jeans jumps over exercise pylons while two boys dressed in soccer uniforms look on .
81862,3687077099.jpg, 2, Children joyously doing exercise drills for soccer practice in a wide open field of grass .
81863,3687077099.jpg, 3, One boy jumping with two boys and a man watching .
81864,3687077099.jpg, 4, Children screwing around before soccer practice .
134055,5369771639.jpg, 0, Two male soccer players in lime green uniforms passing the ball to each other .
134056,5369771639.jpg, 1, Two men on opposing teams are playing soccer in a field .
134057,5369771639.jpg, 2, Two soccer players going head-to-head for a soccer ball .
134058,5369771639.jpg, 3," Two men scrimmage in soccer , as a referee looks on ."
134059,5369771639.jpg, 4, two soccer players in long sleeves
29020,2428959030.jpg, 0, a young man with a black striped shirt on skateboarding on a wall .
29021,2428959030.jpg, 1, A teenager is riding a skateboard along side a metal fence .
29022,2428959030.jpg, 2, A boy rides his skateboard up an incline next to a fence .
29023,2428959030.jpg, 3, A teenage boy skateboards by a fence .
